month,victim_count
1/1/2021,5346
2/1/2021,6569
3/1/2021,8098
4/1/2021,6122
5/1/2021,5553
6/1/2021,5982
7/1/2021,5974
8/1/2021,5372
9/1/2021,4924
10/1/2021,4818
11/1/2021,4743
12/1/2021,4589
1/1/2022,4869
2/1/2022,4025
3/1/2022,5438
4/1/2022,5682
5/1/2022,5528
6/1/2022,5111
7/1/2022,4943
8/1/2022,4841
9/1/2022,4525
10/1/2022,3896
11/1/2022,4452
12/1/2022,4775
1/1/2023,4307
2/1/2023,3866
3/1/2023,4316
4/1/2023,2364
5/1/2023,3613
6/1/2023,3885
7/1/2023,3817
8/1/2023,3322
9/1/2023,3384
10/1/2023,3373
11/1/2023,2878
12/1/2023,3040
1/1/2024,3113
2/1/2024,2849
3/1/2024,2667
4/1/2024,3241
5/1/2024,3280
6/1/2024,2789
7/1/2024,2777
8/1/2024,3173
9/1/2024,3011
10/1/2024,3029
11/1/2024,3035
12/1/2024,3004
1/1/2025,3012
2/1/2025,2693
3/1/2025,2971
